,movieId,title,userId,rating,timestamp
15165,573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",606,3.5,1171328427
15190,579,"Escort, The (Scorta, La) (1993)",606,3.0,1171500850
15200,583,Dear Diary (Caro Diario) (1994),606,4.0,1173570271
16936,600,Love and a .45 (1994),182,4.0,1055153489
16937,602,"Great Day in Harlem, A (1994)",603,4.0,954482018
17200,615,Bread and Chocolate (Pane e cioccolata) (1973),597,3.0,941640505
17249,618,Two Much (1995),314,3.0,845285443
17255,626,"Thin Line Between Love and Hate, A (1996)",544,5.0,850688776
17308,632,Land and Freedom (Tierra y libertad) (1995),606,4.0,1171325016
17309,633,Denise Calls Up (1995),555,5.0,978746353
17316,636,Frisk (1995),604,3.0,832080690
17350,638,Jack and Sarah (1995),474,3.0,1013367353
17559,649,Cold Fever (Á köldum klaka) (1995),603,3.0,963178102
17824,679,"Run of the Country, The (1995)",202,4.0,975014150
17865,698,Delta of Venus (1995),199,1.0,944513522
17882,706,Sunset Park (1996),456,3.0,856883750
18075,722,"Haunted World of Edward D. Wood Jr., The (1996)",84,4.0,858772760
18112,726,Last Dance (1996),84,3.0,858772802
18634,757,Ashes of Time (Dung che sai duk) (1994),246,4.0,1354127927
18724,773,Touki Bouki (1973),318,3.5,1428910086
18725,775,Spirits of the Dead (1968),6,3.0,845556462
19336,790,"Unforgettable Summer, An (Un été inoubliable) (1994)",555,2.0,978748680
19337,791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",90,4.0,856354451
19451,803,Walking and Talking (1996),603,4.0,953925131
19495,806,American Buffalo (1996),599,1.5,1498504671
19534,823,"Collector, The (La collectionneuse) (1967)",318,3.5,1446152685
19535,824,Kaspar Hauser (1993),410,4.0,990807522
20062,875,Nothing to Lose (1994),68,3.5,1261086118
20063,876,Supercop 2 (Project S) (Chao ji ji hua) (1993),493,5.0,1001562382
20100,882,"Trigger Effect, The (1996)",372,2.0,874416992
20112,889,1-900 (06) (1994),44,4.0,869252706
21226,929,Foreign Correspondent (1940),474,3.5,1140441870
21495,956,Penny Serenade (1941),474,4.0,1101737024
21496,959,Of Human Bondage (1934),474,3.5,1140047517
21497,961,Little Lord Fauntleroy (1936),606,4.0,1171409719
21498,963,"Inspector General, The (1949)",288,3.0,1071523563
21572,970,Beat the Devil (1953),474,3.5,1096471043
21588,976,"Farewell to Arms, A (1932)",474,3.0,1100269624
21589,979,Nothing Personal (1995),6,3.0,845556808
21592,982,Picnic (1955),474,3.0,1060009150
21608,987,Bliss (1997),84,3.0,860398734
21627,993,Infinity (1996),474,3.0,1060105286
21699,1008,"Davy Crockett, King of the Wild Frontier (1955)",288,3.0,985625095
22431,1040,"Secret Agent, The (1996)",414,3.0,965067631
22556,1053,Normal Life (1996),603,3.0,953925191
22557,1054,Get on the Bus (1996),610,2.0,1493850563
22700,1068,Crossfire (1947),474,3.5,1106231071
23787,1114,"Funeral, The (1996)",599,3.0,1519241700
23788,1116,"Single Girl, A (Fille seule, La) (1995)",90,4.0,856354577
23789,1117,"Eighth Day, The (Huitième jour, Le) (1996)",606,3.5,1175627831
23790,1119,Drunks (1995),603,3.0,963176127
23818,1121,Glory Daze (1995),414,4.0,961518176
24143,1137,Hustler White (1996),90,4.0,856354577
24144,1140,Entertaining Angels: The Dorothy Day Story (1996),85,5.0,889468344
24145,1144,"Line King: The Al Hirschfeld Story, The (1996)",90,4.0,856354526
24217,1156,"Children Are Watching Us, The (Bambini ci guardano, I) (1944)",606,3.5,1171361663
24221,1162,"Ruling Class, The (1972)",156,3.0,939854008
24222,1163,Mina Tannenbaum (1994),160,1.0,971113112
24358,1180,Hear My Song (1991),469,3.0,965336955
29862,1310,Hype! (1996),603,5.0,954481981
29865,1318,Blue Juice (1995),132,2.0,1174935480
29974,1331,Audrey Rose (1977),571,2.0,966900418
30028,1335,Blood Beach (1981),514,1.0,1534114141
30029,1336,Body Parts (1991),555,1.0,980126214
30030,1337,"Body Snatcher, The (1945)",91,4.5,1112712688
30202,1349,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice) (1986),603,5.0,953925548
31445,1398,In Love and War (1996),474,2.5,1060106009
31635,1412,Some Mother's Son (1996),419,3.5,1321853469
31668,1423,Hearts and Minds (1996),474,4.0,1238350606
31677,1426,Zeus and Roxanne (1997),599,1.0,1519179378
31678,1427,Turbulence (1997),19,1.0,965712068
31833,1456,"Pest, The (1997)",19,2.0,965706185
31846,1458,Touch (1997),32,4.0,856736822
31946,1473,Best Men (1997),1,4.0,964980875
31958,1475,Kama Sutra: A Tale of Love (1996),603,4.0,954482557
31985,1477,Love Jones (1997),548,4.0,1488825135
32139,1493,Love and Other Catastrophes (1996),606,3.5,1173447143
32142,1496,Anna Karenina (1997),474,4.0,1087832418
32243,1507,Paradise Road (1997),474,3.5,1120355962
32273,1514,Temptress Moon (Feng Yue) (1996),603,3.0,954482851
32289,1516,Children of the Revolution (1996),155,3.0,961861723
32403,1519,Broken English (1996),85,1.0,889468582
32627,1546,Schizopolis (1996),182,3.5,1073397357
32630,1549,Rough Magic (1995),603,4.0,954482687
32765,1565,Head Above Water (1996),367,4.0,997812260
32918,1574,Fall (1997),275,1.0,1049079204
33176,1585,Love Serenade (1996),603,3.0,963178192
33576,1613,Star Maps (1997),603,4.0,963180153
33854,1631,"Assignment, The (1997)",59,5.0,953610203
34094,1652,Year of the Horse (1997),594,4.5,1129084112
34181,1654,FairyTale: A True Story (1997),605,3.5,1277176734
34182,1655,Phantoms (1998),226,4.0,1095712866
34183,1656,Swept from the Sea (1997),414,4.0,997709182
34192,1659,Hurricane Streets (1997),95,4.0,1043340392
34193,1660,Eve's Bayou (1997),288,3.0,979164091
34194,1661,Switchback (1997),140,3.0,967047762
34255,1671,Deceiver (1997),217,3.0,955943153
34347,1675,Incognito (1997),438,3.5,1105763611
34428,1677,Critical Care (1997),217,2.0,955944348
34439,1679,Chairman of the Board (1998),19,2.0,965702660
34607,1685,"I Love You, I Love You Not (1996)",185,3.0,1044311995
35379,1739,3 Ninjas: High Noon On Mega Mountain (1998),255,4.0,1005717179
35380,1746,Senseless (1998),298,2.0,1466277925
35500,1757,Fallen Angels (Duo luo tian shi) (1995),462,2.0,1126758443
35501,1759,"Four Days in September (O Que É Isso, Companheiro?) (1997)",603,5.0,963179339
35535,1771,Night Flier (1997),91,4.0,1112717639
35761,1794,Love and Death on Long Island (1997),599,3.0,1498521896
35850,1807,"Cool, Dry Place, A (1998)",265,3.0,965319510
35880,1824,Homegrown (1998),500,1.0,1005527926
35881,1825,The Players Club (1998),553,3.5,1219556438
35882,1826,Barney's Great Adventure (1998),234,2.0,1004409244
35965,1839,My Giant (1998),448,3.0,1019128846
35973,1841,"Gingerbread Man, The (1998)",33,3.0,939717614
36015,1857,"Real Blonde, The (1997)",606,3.5,1171842826
36054,1867,Tarzan and the Lost City (1998),217,2.0,955942252
36055,1870,"Dancer, Texas Pop. 81 (1998)",414,3.0,998400974
36245,1891,"Ugly, The (1997)",19,2.0,965705454
36262,1893,Beyond Silence (Jenseits der Stille) (1996),474,4.5,1181348028
36296,1900,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",391,4.0,1030827597
36297,1902,Dream for an Insomniac (1996),474,4.0,1015352994
36790,1926,"Broadway Melody, The (1929)",474,3.0,1078151726
36801,1928,Cimarron (1931),474,3.5,1074607329
36810,1932,"Great Ziegfeld, The (1936)",474,3.5,1095191507
36811,1933,"Life of Emile Zola, The (1937)",474,3.0,1100291823
36831,1940,Gentleman's Agreement (1947),474,4.0,1100119605
37571,1980,Friday the 13th Part VII: The New Blood (1988),571,2.0,966901288
37610,1985,Halloween 4: The Return of Michael Myers (1988),555,2.0,978823389
37615,1990,Prom Night IV: Deliver Us From Evil (1992),546,4.0,973588258
38098,2008,"This World, Then the Fireworks (1997)",603,3.0,953925413
38772,2032,"Barefoot Executive, The (1971)",27,2.0,962686805
38799,2037,Candleshoe (1977),19,4.0,965707724
38975,2055,Hot Lead and Cold Feet (1978),288,3.0,976120488
38976,2056,In Search of the Castaways (1962),217,3.0,955942449
39145,2075,Mephisto (1981),59,5.0,953610077
39703,2104,Tex (1982),603,4.0,953927978
40516,2156,"Best Man, The (Testimone dello sposo, Il) (1998)",606,4.0,1171500790
40612,2164,Surf Nazis Must Die (1987),50,1.0,1514891778
40697,2172,"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",414,3.0,979568961
40789,2175,Déjà Vu (1997),594,4.5,1108972335
40805,2179,Topaz (1969),474,3.0,1060105380
40806,2180,Torn Curtain (1966),474,3.5,1075212596
40864,2190,Why Do Fools Fall In Love? (1998),307,2.0,1186258708
40977,2196,Knock Off (1998),594,5.0,1108975245
41007,2207,Jamaica Inn (1939),606,3.0,1171363536
41016,2211,Secret Agent (1936),474,3.0,1116386398
41020,2226,"Ring, The (1927)",358,1.0,1339545476
41256,2257,No Small Affair (1984),66,4.0,1113189671
41473,2281,Monument Ave. (1998),599,2.5,1498517222
41482,2286,"Fiendish Plot of Dr. Fu Manchu, The (1980)",288,2.0,975692708
41656,2292,Overnight Delivery (1998),599,2.5,1498514773
41728,2298,Strangeland (1998),91,4.0,1112718156
41842,2304,Love Is the Devil (1998),603,4.0,963176251
41849,2307,One Tough Cop (1998),368,3.0,975829365
42347,2339,I'll Be Home For Christmas (1998),599,1.5,1519255520
42618,2358,Savior (1998),28,4.0,1242031785
42667,2362,Glen or Glenda (1953),479,4.0,1039361336
42714,2368,King Kong Lives (1986),448,2.0,1019140795
42739,2370,"Emerald Forest, The (1985)",342,3.0,1042821231
42946,2388,Steam: The Turkish Bath (Hamam) (1997),606,4.0,1171404653
43543,2415,Violets Are Blue... (1986),577,3.0,945978669
43560,2417,Heartburn (1986),603,1.0,953928203
43845,2435,Hurlyburly (1998),603,4.0,963179880
43910,2451,"Gate, The (1987)",555,3.0,978823434
44011,2462,Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994),288,3.0,976139074
44218,2481,My Name Is Joe (1998),606,4.0,1171328207
44221,2483,"Day of the Beast, The (Día de la Bestia, El) (1995)",483,3.5,1178293076
44311,2493,"Harmonists, The (1997)",467,4.0,919670753
44482,2503,"Apple, The (Sib) (1998)",606,4.0,1173570372
44516,2512,"Ballad of Narayama, The (Narayama bushiko) (1983)",603,5.0,953926692
44532,2516,Children of the Corn III (1994),307,1.0,1186087869
44740,2538,Dancemaker (1998),575,1.0,926510444
44898,2544,"School of Flesh, The (École de la chair, L') (1998)",603,3.0,963179791
44942,2557,I Stand Alone (Seul contre tous) (1998),187,4.5,1161864141
44952,2559,"King and I, The (1999)",307,3.0,1186258341
45346,2573,Tango (1998),535,1.0,939028983
45357,2577,Metroland (1997),603,3.0,963176277
45462,2589,Friends & Lovers (1999),594,3.5,1108972405
45463,2590,Hideous Kinky (1998),140,2.5,1075154614
45655,2609,"King of Masks, The (Bian Lian) (1996)",603,4.0,953927272
45656,2611,"Winslow Boy, The (1999)",474,3.0,1139940327
45657,2612,Mildred Pierce (1945),474,4.0,1089386149
45790,2620,This Is My Father (1998),603,3.0,954482414
45802,2623,Trippin' (1999),575,1.0,926510597
45951,2632,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",387,4.0,1198912555
46130,2651,Frankenstein Meets the Wolf Man (1943),91,1.0,1112717546
46131,2652,"Curse of Frankenstein, The (1957)",474,3.0,1065531558
46137,2655,Howling II: Your Sister Is a Werewolf (1985),571,2.0,966901253
46138,2656,Tarantula (1955),380,3.0,1536875205
46202,2659,It Came from Hollywood (1982),79,2.0,975281768
46207,2661,It Came from Outer Space (1953),51,3.0,1230932166
46233,2665,Earth vs. the Flying Saucers (1956),422,1.0,986172053
46654,2695,"Boys, The (1998)",367,2.0,997811471
46658,2697,My Son the Fanatic (1997),474,3.5,1107193681
46659,2698,Zone 39 (1997),599,2.0,1498530811
47444,2725,Twin Falls Idaho (1999),603,2.0,953927272
47454,2727,Killer's Kiss (1955),603,3.0,953925349
47532,2737,Assassination (1987),607,4.0,964744628
47533,2738,Crimes of the Heart (1986),587,4.0,953139233
47546,2740,"Kindred, The (1986)",571,1.0,966901166
47549,2742,Ménage (Tenue de soirée) (1986),527,1.0,1033173581
47550,2743,Native Son (1986),474,3.0,1060105422
47551,2744,Otello (1986),198,4.0,1034137768
47624,2751,From the Hip (1987),414,4.0,961596281
47633,2754,Deadtime Stories (1987),19,1.0,965705405
47634,2757,Frances (1982),474,3.5,1093267589
47916,2765,"Acid House, The (1998)",182,3.5,1055155694
47976,2774,Better Than Chocolate (1999),596,3.0,1535830123
47977,2775,Head On (1998),140,1.0,949666667
48319,2800,Little Nemo: Adventures in Slumberland (1992),600,2.5,1237762665
48320,2801,Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),474,4.5,1100119890
48460,2812,In Too Deep (1999),266,3.0,945670208
48461,2813,"Source, The (1999)",603,1.0,963176755
48494,2820,Hamlet (1964),554,4.0,944901514
48506,2824,On the Ropes (1999),275,5.0,1049078572
48553,2835,Chill Factor (1999),414,1.0,961516434
48558,2837,Bedrooms & Hallways (1998),104,3.0,1049103610
48559,2839,West Beirut (West Beyrouth) (1998),453,4.0,972622589
48622,2848,"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)",325,4.0,1039396351
48627,2852,"Soldier's Story, A (1984)",288,4.0,980534725
48628,2856,I Saw What You Did (1965),384,3.0,996440939
48871,2862,Caligula (1979),555,1.0,978823667
48891,2865,Sugar Town (1999),603,4.0,963178079
48987,2876,Thumbelina (1994),27,2.0,962685525
49038,2884,Dog Park (1998),414,2.0,1082914221
49039,2885,Guinevere (1999),603,2.0,953925072
49042,2887,Simon Sez (1999),448,1.0,1042049388
49104,2892,New Rose Hotel (1998),603,1.0,963177971
49105,2893,Plunkett & MaCleane (1999),414,3.0,961437647
49106,2894,Romance (1999),325,4.0,1039395734
49107,2896,Alvarez Kelly (1966),315,3.0,939922322
49108,2897,And the Ship Sails On (E la nave va) (1983),606,4.0,1171361380
49109,2898,"Dark Half, The (1993)",19,2.0,965705195
49511,2930,Return with Honor (1998),474,3.5,1238350434
50060,2964,Julien Donkey-Boy (1999),275,1.0,1049078833
50061,2965,"Omega Code, The (1999)",579,2.0,966069266
50121,2969,"Man and a Woman, A (Un homme et une femme) (1966)",113,5.0,980306846
50132,2972,Red Sorghum (Hong gao liang) (1987),603,5.0,953927590
50151,2974,Bats (1999),274,2.5,1172275244
50152,2975,"Best Man, The (1999)",342,3.0,1042821919
50165,2979,Body Shots (1999),414,3.0,961518708
50166,2982,"Guardian, The (1990)",571,2.0,966901472
50167,2983,"Ipcress File, The (1965)",202,4.0,974924755
50168,2984,On Any Sunday (1971),226,4.5,1159220436
50428,2992,Rawhead Rex (1986),91,3.5,1112718036
50618,3002,My Best Fiend (Mein liebster Feind) (1999),603,4.0,954481981
50694,3008,Last Night (1998),414,4.0,961436823
50695,3010,Rosetta (1999),606,4.0,1171737820
50700,3013,Bride of Re-Animator (1990),91,4.0,1112717436
50701,3014,Bustin' Loose (1981),217,2.0,955944735
50760,3021,"Funhouse, The (1981)",571,2.0,966901209
51006,3043,Meatballs 4 (1992),294,1.0,966596804
51134,3056,Oxygen (1999),19,4.0,965711994
51135,3057,Where's Marlowe? (1998),448,4.0,1042220824
51260,3073,"Sandpiper, The (1965)",572,5.0,945890887
51402,3086,Babes in Toyland (1934),292,5.0,990062271
51480,3096,My Man Godfrey (1957),156,5.0,946799236
51626,3106,Come See the Paradise (1990),245,1.0,951183042
51694,3112,'night Mother (1986),474,3.0,1065028441
51818,3125,"End of the Affair, The (1999)",474,4.0,1014924099
51830,3132,Daddy Long Legs (1919),217,2.0,955943400
51849,3143,Hell in the Pacific (1968),577,3.0,945966525
52137,3162,Simpatico (1999),368,3.0,972106150
52182,3171,Room at the Top (1959),309,4.0,1166068655
52400,3183,"Third Miracle, The (1999)",603,3.0,963176178
52447,3192,"Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998)",275,3.0,1049077681
53274,3276,Gun Shy (2000),448,1.0,1052647528
53275,3280,"Baby, The (1973)",307,1.5,1186085577
53276,3281,"Brandon Teena Story, The (1998)",474,2.0,1052088727
53279,3284,They Might Be Giants (1971),448,3.0,1476384001
53320,3289,Not One Less (Yi ge dou bu neng shao) (1999),606,4.5,1171409431
53321,3294,Eaten Alive (1977),514,1.5,1533947075
53322,3295,Raining Stones (1993),606,4.0,1171328192
53437,3303,Black Tar Heroin: The Dark End of the Street (2000),603,5.0,953924864
53469,3315,Happy Go Lovely (1951),89,4.5,1520409333
53505,3323,Chain of Fools (2000),182,4.0,1055151777
53539,3329,The Year My Voice Broke (1987),202,4.0,974912284
53542,3331,My Tutor (1983),288,2.0,980536052
53565,3344,Blood Feast (1963),603,4.0,953925513
53566,3345,"Charlie, the Lonesome Cougar (1967)",288,3.0,978470103
53579,3353,"Closer You Get, The (2000)",594,4.5,1108976033
53616,3357,East-West (Est-ouest) (1999),160,4.0,976796537
53792,3374,Daughters of the Dust (1991),603,4.0,953927375
53793,3378,"Ogre, The (Unhold, Der) (1996)",414,4.0,1005067139
53794,3379,On the Beach (1959),599,4.5,1498539583
53856,3389,Let's Get Harry (1986),217,2.0,955941792
53857,3390,Shanghai Surprise (1986),448,2.0,1019125722
53938,3400,We're Back! A Dinosaur's Story (1993),19,3.0,965709047
53946,3403,Raise the Titanic (1980),587,4.0,953137509
53953,3405,"Night to Remember, A (1958)",469,3.0,965333831
54062,3410,Soft Fruit (1999),20,4.0,1054037584
54069,3414,Love Is a Many-Splendored Thing (1955),587,4.0,953137479
54073,3417,"Crimson Pirate, The (1952)",217,3.0,955941875
54228,3428,"Champ, The (1979)",479,3.0,1039367349
54250,3433,Death Wish 4: The Crackdown (1987),217,1.0,955941778
54251,3434,Death Wish 5: The Face of Death (1994),217,1.0,955941778
54339,3442,Band of the Hand (1986),555,1.0,978749085
54400,3449,"Good Mother, The (1988)",587,4.0,953137328
54463,3455,Buddy Boy (1999),387,2.5,1154504966
54464,3459,Gothic (1986),603,4.0,963176828
54606,3474,Retroactive (1997),182,4.0,1055153620
54827,3492,"Son of the Sheik, The (1926)",156,4.0,953534636
54834,3496,Madame Sousatzka (1988),224,5.0,971813011
55040,3514,Joe Gould's Secret (2000),603,3.0,963176034
55168,3531,All the Vermeers in New York (1990),603,5.0,954482325
55497,3567,Bossa Nova (2000),333,5.0,965671669
55498,3568,Smiling Fish and Goat on Fire (1999),450,4.0,974704776
55509,3574,Carnosaur 3: Primal Species (1996),555,1.0,978842219
55694,3586,The Idolmaker (1980),603,4.0,963176277
55697,3590,"Lords of Flatbush, The (1974)",409,2.0,967920215
55713,3592,"Time Masters (Maîtres du temps, Les) (1982)",105,4.5,1448214503
55739,3596,Screwed (2000),448,1.0,1044272089
55750,3604,Gypsy (1962),89,0.5,1520408880
55780,3609,Regret to Inform (1998),474,3.5,1238350465
55866,3619,"Hollywood Knights, The (1980)",469,2.0,965336221
55867,3622,"Twelve Chairs, The (1970)",19,3.0,965706114
55988,3625,Better Living Through Circuitry (1999),414,2.0,1050934949
56027,3634,Seven Days in May (1964),290,4.0,975031171
56046,3637,Vagabond (Sans toit ni loi) (1985),603,5.0,963176178
56091,3640,"King in New York, A (1957)",606,4.0,1171501173
56113,3648,"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",377,4.0,1340342656
56122,3652,"City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi) (1980)",274,3.0,1288173019
56141,3658,Quatermass and the Pit (1967),469,3.0,965661757
56144,3661,Puppet Master II (1991),555,3.0,978842077
56147,3663,Puppet Master 4 (1993),555,2.0,978842188
56148,3664,Puppet Master 5: The Final Chapter (1994),555,2.0,978842188
56149,3667,Rent-A-Cop (1988),294,1.0,966597280
56165,3669,Stay Tuned (1992),599,2.5,1498513926
56235,3674,For the Love of Benji (1977),527,4.0,1033176258
56258,3678,"Man with the Golden Arm, The (1955)",555,5.0,978745225
56261,3680,"Decline of Western Civilization Part II: The Metal Years, The (1988)",387,3.0,1148942975
56350,3687,Light Years (Gandahar) (1988),105,5.0,1448214505
56371,3691,Private School (1983),555,3.0,978823349
56372,3692,Class of Nuke 'Em High (1986),19,3.0,965702660
56456,3700,"Brother from Another Planet, The (1984)",599,2.5,1519138478
56608,3709,Sleepwalkers (1992),599,2.0,1519236798
56612,3711,Sarafina! (1992),186,4.0,1031072998
56616,3713,"Long Walk Home, The (1990)",290,4.0,974938036
56617,3714,Clara's Heart (1988),474,2.5,1087832560
56620,3716,Fatal Beauty (1987),368,1.0,975830312
56684,3720,Sunshine (1999),477,4.0,1221445662
56734,3731,Cutter's Way (1981),368,3.0,971276793
56759,3736,"Ace in the Hole (Big Carnival, The) (1951)",318,3.0,1419078242
56760,3737,Lonely Are the Brave (1962),140,4.0,960561709
56763,3739,Trouble in Paradise (1932),474,3.5,1137521380
57113,3756,"Golden Bowl, The (2000)",453,4.0,1034602863
57119,3761,"Blood In, Blood Out (1993)",182,4.0,1055154143
57256,3789,"Pawnbroker, The (1964)",474,3.5,1107193651
57275,3792,Duel in the Sun (1946),603,5.0,963176536
57411,3795,"Five Senses, The (1999)",108,5.0,1042840602
57454,3806,Mackenna's Gold (1969),288,3.0,1014821744
57455,3807,Sinbad and the Eye of the Tiger (1977),265,3.0,965314642
57456,3808,"Two Women (Ciociara, La) (1960)",606,4.0,1171311453
57526,3816,"Official Story, The (La historia oficial) (1985)",474,4.0,1132195959
57667,3832,"Black Sabbath (Tre volti della paura, I) (1963)",469,4.0,965336407
57696,3838,Phantasm III: Lord of the Dead (1994),387,2.0,1126494985
57724,3845,And God Created Woman (Et Dieu... créa la femme) (1956),318,4.0,1507742593
57729,3847,"Ilsa, She Wolf of the SS (1974)",414,2.0,966612823
57732,3851,I'm the One That I Want (2000),4,5.0,986849180
57748,3857,Bless the Child (2000),274,4.0,1197190483
57899,3870,Our Town (1940),474,3.0,1062387901
57905,3872,"Suddenly, Last Summer (1959)",309,3.5,1086565300
57961,3888,Skipped Parts (2000),182,4.0,1063282649
57987,3894,Solas (1999),198,4.0,1034136988
57988,3895,"Watcher, The (2000)",182,1.5,1055153879
58082,3899,Circus (2000),324,1.0,974906742
58083,3900,Crime and Punishment in Suburbia (2000),414,4.0,978963084
58170,3914,"Broken Hearts Club, The (2000)",275,4.0,1049077424
58242,3919,Hellraiser III: Hell on Earth (1992),387,2.5,1129960571
58243,3920,"Faraway, So Close (In weiter Ferne, so nah!) (1993)",606,4.0,1171328086
58244,3922,Bikini Beach (1964),368,1.0,971274103
58251,3926,Voyage to the Bottom of the Sea (1961),288,3.0,975691635
58270,3933,"Killer Shrews, The (1959)",448,0.5,1191614594
58277,3939,Slumber Party Massacre II (1987),546,5.0,973588747
58278,3940,Slumber Party Massacre III (1990),546,5.0,973588771
58279,3941,Sorority House Massacre (1986),546,5.0,973588747
58280,3942,Sorority House Massacre II (1990),546,5.0,973588747
58289,3945,Digimon: The Movie (2000),610,3.0,1493850190
58493,3951,Two Family House (2000),414,5.0,997453431
58514,3958,Billy Jack Goes to Washington (1977),546,2.0,973588614
58523,3962,Ghoulies II (1987),599,1.5,1519258146
58529,3965,"Strange Love of Martha Ivers, The (1946)",474,3.5,1087217711
58644,3974,"Little Vampire, The (2000)",288,3.0,978470524
59851,4032,"Everlasting Piece, An (2000)",182,4.0,1055156169
60007,4046,Friendly Persuasion (1956),474,4.0,1122323382
60017,4051,Horrors of Spider Island (Ein Toter Hing im Netz) (1960),448,0.5,1263237066
60067,4064,Coffy (1973),387,3.5,1168073831
60068,4065,Foxy Brown (1974),387,2.5,1177746615
60106,4074,"Legend of Rita, The (Stille nach dem Schuß, Die) (1999)",4,3.0,986848665
60109,4078,Amazing Grace and Chuck (1987),367,4.0,997813382
60119,4083,Best Seller (1987),113,4.0,980087736
60190,4089,Born in East L.A. (1987),414,2.0,991145275
60205,4093,Cop (1988),419,1.5,1321647670
60256,4110,"Fourth Protocol, The (1987)",288,3.0,1020369846
60257,4111,Gardens of Stone (1987),479,3.0,1039362256
60260,4115,Hiding Out (1987),414,2.0,991145077
60261,4116,Hollywood Shuffle (1987),275,5.0,1049076933
60277,4123,Ishtar (1987),414,2.0,991145003
60317,4129,Made in Heaven (1987),474,1.0,1047055270
60340,4135,"Monster Squad, The (1987)",562,5.0,1368896069
60343,4139,No Man's Land (1987),414,3.0,1045422649
60350,4143,Valentine (2001),274,3.5,1197190338
60444,4156,Company Man (2000),448,2.0,1063909113
60445,4157,"Price of Milk, The (2000)",182,4.5,1063282219
60504,4171,Long Night's Journey Into Day (2000),474,4.0,1106575103
60505,4174,Avalon (1990),198,3.0,1034136139
60516,4180,Reform School Girls (1986),313,5.0,1030556287
60517,4181,Tapeheads (1988),307,2.0,1186260144
